Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
400.352,7.599999905,28.60000038,7.199999809
400.428,-6.199999809,7.599999905,-5.400000095
400.505,3,35.59999847,16.60000038
400.581,-21.20000076,15.39999962,-15.19999981
400.658,29.79999924,44.40000153,-6.400000095
400.734,-16.79999924,-3.200000048,-10.39999962
400.810,25.79999924,37.40000153,-23.20000076
400.887,-5.199999809,-11.80000019,-20
400.963,13.60000038,5,-38
401.040,4.199999809,-6.400000095,-17
401.116,24.20000076,8.800000191,2.599999905
401.193,-13,11,2.599999905
401.269,19.60000038,31.20000076,9
401.345,-30.79999924,-12,17.39999962
401.422,36,34.40000153,-2.200000048
401.498,-6.599999905,38,-34.40000153
401.574,21,52.79999924,-29
401.651,-1,-9.600000381,12
401.727,24.39999962,20.60000038,1.600000024
401.804,-0.400000006,10.80000019,-12.80000019
401.880,-10,16.60000038,17
401.956,2.400000095,26.20000076,21
402.033,44.40000153,70.59999847,-12.39999962
402.109,1.200000048,144,-10
402.185,32,348.3999939,4
402.262,15,350,0
402.338,31.79999924,112,-1.600000024
402.414,30.39999962,32,13.39999962
402.491,6.400000095,28,19.39999962
402.567,-1.600000024,-7.800000191,-9.600000381
402.643,16.60000038,26.60000038,-1.399999976
402.720,9,32.20000076,25
402.796,32.79999924,41,13.19999981
402.872,-20,-2.799999952,-8.600000381
402.949,22.39999962,3.599999905,9
403.025,16.39999962,23.20000076,-5.599999905
403.101,43.59999847,32.20000076,13.80000019
403.178,-10.39999962,18,15
403.254,31.60000038,-6.800000191,-18.60000038
403.330,-5.599999905,32,-11.80000019
403.406,30,33,13.39999962
403.483,-21.60000038,-12.80000019,-9.800000191
403.559,-9.600000381,30.20000076,-11.19999981
403.635,-1.399999976,27.20000076,-1.399999976
403.711,29,29.39999962,0.600000024
403.788,3.400000095,-7.800000191,-29.39999962
403.864,19.79999924,2.200000048,4
403.940,4.400000095,5.800000191,6.800000191
404.016,8,16.79999924,-15
404.093,-12.19999981,16.79999924,-6.199999809
404.169,16,58.40000153,-10
404.245,-3.599999905,11.39999962,-34.79999924
404.321,6,76.59999847,20.60000038
404.398,17.60000038,16.20000076,-2.799999952
404.474,51.79999924,50,17
404.550,-10.80000019,19.79999924,3.200000048
404.626,22.79999924,59,-4.599999905
404.702,29,24.20000076,9.600000381
404.779,26.60000038,26.60000038,2.599999905
404.855,7,24.39999962,1.600000024
404.931,32.59999847,54.40000153,15.60000038
405.007,-1.799999952,12.60000038,-16.39999962
405.083,12.60000038,43.79999924,2.200000048
405.160,34.20000076,26,16.39999962
405.236,37,37.79999924,-10.39999962
405.312,-2,13,-3.200000048
405.388,9.600000381,46.59999847,-1.799999952
405.464,-12.80000019,35.20000076,-7
405.540,4.599999905,48.20000076,-14.39999962
405.616,-26,10,-15.80000019
405.693,-0.800000012,65.40000153,-2.200000048
405.769,9.399999619,75.80000305,-3.400000095
405.845,17,53.79999924,-1.799999952
405.921,-17,23,-3.400000095
405.997,9.600000381,93,-17
406.073,-9.399999619,171.8000031,14.39999962
406.149,-3.200000048,473.7999878,3.599999905
406.226,-1.799999952,903.2000122,-16.60000038
406.302,11.39999962,514,-11.60000038
406.378,-14.19999981,125.8000031,-1
406.454,7.199999809,97.19999695,-11.60000038
406.530,-6.400000095,51.40000153,-1.399999976
406.606,29.39999962,47,-32.59999847
406.682,6.599999905,48,7.800000191
406.758,11.80000019,51,-6.400000095
406.834,-2.200000048,26,4.800000191
406.910,30.20000076,18.39999962,-10.60000038
406.986,18.39999962,18.39999962,-3.799999952
407.062,-5.199999809,31.79999924,-12.39999962
407.139,-19.60000038,12.19999981,-11
407.215,21.60000038,70.80000305,-12.60000038
407.291,90.59999847,91.80000305,70.40000153
407.367,-3,26.20000076,30.20000076
407.443,0.600000024,18.79999924,3.400000095
407.519,20,55.79999924,9.800000191
407.595,-12,-15.60000038,-1.600000024
407.671,32.40000153,25.20000076,19.79999924
407.747,-26.60000038,18.79999924,3.400000095
407.823,-7.199999809,33.59999847,12
407.899,-7.199999809,27.79999924,-9.600000381
407.975,6.199999809,37.40000153,-5.400000095
408.051,-25.20000076,14.39999962,0.600000024
408.127,25.60000038,57.59999847,15.19999981
408.203,8.399999619,14.19999981,-10.19999981
408.279,14.60000038,40,-4.199999809
408.355,-14,1.200000048,7.400000095
408.431,40.40000153,36.79999924,-21.60000038
408.507,-15.39999962,20.60000038,9.399999619
408.583,32.59999847,22.79999924,28.60000038
408.659,1.200000048,17.79999924,-16.20000076
408.735,-1.600000024,44.20000076,17
408.811,-4,17,26.79999924
408.887,-1.399999976,37.20000076,7.800000191
408.963,2,2.400000095,-6
409.039,25.20000076,20,-9.399999619
409.115,-19.20000076,9.199999809,-0.800000012
409.190,0.400000006,37.59999847,-27.60000038
409.266,-21.20000076,-8.199999809,5.400000095
409.342,32,52.40000153,-5
409.418,16,39.79999924,-9.199999809
409.494,-18.60000038,40.79999924,1
409.570,27.79999924,-1.799999952,-4.599999905
409.646,14.60000038,65.40000153,11
409.722,-17.79999924,17.60000038,11
409.798,7,36.59999847,-3.400000095
409.874,-2,55.59999847,-15.60000038
409.950,0,38.40000153,5.400000095
410.026,-1,0.400000006,13
410.101,25,63,-18
410.177,15,20.60000038,-6
410.253,37.20000076,43.20000076,15.80000019
410.329,-29,45,11.80000019
410.405,31.20000076,61.59999847,11.80000019
410.481,34.79999924,53,9.800000191
410.557,2.400000095,47.79999924,-21
410.632,15.39999962,25.39999962,-2.599999905
410.708,27.39999962,32.20000076,9.199999809
410.784,0.400000006,54.40000153,7.400000095
410.860,44.20000076,47.20000076,7.400000095
410.936,-21.79999924,8.600000381,16
411.012,28.20000076,53.20000076,-5.599999905
411.088,-20.20000076,14.19999981,6.400000095
411.163,100,105.8000031,51.79999924
411.239,6.800000191,12.60000038,-11.19999981
411.315,16,28,-16
411.391,5,37.59999847,-16.39999962
411.467,-29.79999924,39.20000076,-28.20000076
411.542,-17.60000038,42.20000076,25
411.618,1.600000024,29.60000038,3.799999952
411.694,18.60000038,41.79999924,11.19999981
411.770,30,57.40000153,19.79999924
411.846,-5.199999809,32.59999847,-7.800000191
411.921,28,76.40000153,-33.79999924
411.997,8.199999809,86.40000153,9.800000191
412.073,13.19999981,57.79999924,6.400000095
412.149,6.199999809,38.59999847,9.600000381
412.224,30,37.20000076,19.39999962
412.300,14,14.19999981,18
412.376,15.60000038,32.79999924,-26.79999924
412.452,-13.80000019,16.20000076,4
412.527,22.60000038,40.20000076,-30.60000038
412.603,22.20000076,43.20000076,24.39999962
412.679,14.39999962,44,-16.79999924
412.755,2.599999905,63.40000153,-1
412.830,7.599999905,21.60000038,16.39999962
412.906,7.199999809,89.40000153,9.199999809
412.982,14,38.59999847,-11.39999962
413.057,23.20000076,81.80000305,-24.60000038
413.133,20.79999924,60.20000076,2.400000095
413.209,-0.200000003,66.59999847,-5
413.285,10,40,20
413.360,6.199999809,43.79999924,7.400000095
413.436,-0.200000003,81.19999695,9.399999619
413.512,-19.39999962,36.59999847,2
413.587,44,81.40000153,-6.400000095
413.663,20.39999962,65.80000305,14.39999962
413.739,9,46.79999924,-2
413.814,19.20000076,15,13
413.890,-14.80000019,79.59999847,-12.19999981
413.966,6.599999905,64,8.399999619
414.041,33.20000076,64.59999847,-0.200000003
414.117,-26,52.20000076,-2.200000048
414.193,29.20000076,40.40000153,-14.39999962
414.268,1.200000048,51.59999847,-2.799999952
414.344,30.79999924,42.59999847,10.60000038
414.419,-16.20000076,39.59999847,-5.199999809
414.495,15.19999981,61.20000076,5.800000191
414.571,21.39999962,86.19999695,16
414.646,-0.400000006,44.40000153,0.600000024
414.722,-25,57,6.199999809
414.798,15.39999962,84.40000153,-4.199999809
414.873,42.79999924,95.59999847,8.800000191
414.949,6.199999809,77,-36.40000153
415.024,8.800000191,100.8000031,19.39999962
415.100,2.599999905,65.80000305,-11.39999962
415.176,17.60000038,80.19999695,-31.20000076
415.251,26.39999962,56.40000153,-20
415.327,-3.200000048,41.40000153,5.800000191
415.402,4.199999809,101.8000031,10.60000038
415.478,-5.800000191,68.80000305,-18.60000038
