Wavelength [nm],spectra
413.102,0.869748903
413.178,0.905238003
413.255,0.864497281
413.331,0.970889387
413.407,0.987689175
413.484,0.901736339
413.560,0.865799447
413.636,0.910192823
413.713,0.86185297
413.789,0.860539167
413.865,0.974915655
413.941,0.894516621
414.018,0.955726496
414.094,0.913303868
414.170,1.01385539
414.247,0.924714449
414.323,1.003479011
414.399,0.973780716
414.475,0.86060824
414.552,0.891983229
414.628,0.918822502
414.704,0.956335497
414.780,0.941180035
414.857,0.88969855
414.933,0.82255174
415.009,0.85561199
415.085,0.930623321
415.162,0.949514527
415.238,0.837936861
415.314,0.975470378
415.390,0.856466769
415.466,0.925800457
415.543,0.944613963
415.619,0.918222969
415.695,0.949281553
415.771,0.995098817
415.847,0.928611435
415.924,1.060591744
416.000,0.912301124
416.076,0.978758871
416.152,0.898452002
416.228,1.037490071
416.304,0.863999824
416.381,0.996347187
416.457,0.917573095
416.533,0.988524819
416.609,1.014871985
416.685,0.902229143
416.761,0.901359726
416.837,0.902452098
416.914,0.892115184
416.990,0.890179637
417.066,0.917513978
417.142,0.952166526
417.218,0.9238386
417.294,0.954140477
417.370,0.903089985
417.446,0.940292252
417.522,0.916762285
417.598,0.945013009
417.675,0.89650964
417.751,0.934198349
417.827,0.943396202
417.903,1.013855966
417.979,0.884709189
418.055,0.925165271
418.131,0.885948445
418.207,0.881181446
418.283,0.902068356
418.359,0.972712358
418.435,0.944062878
418.511,0.951020275
418.587,0.87822197
418.663,0.922160921
418.739,0.961838492
418.815,0.937247925
418.891,0.977005507
418.967,0.975771715
419.043,0.860363173
419.119,0.917059438
419.195,0.950679776
419.271,0.903375611
419.347,0.930890279
419.423,0.955773332
419.499,0.930151004
419.575,0.88122157
419.651,0.818395406
419.727,0.943727341
419.803,0.887429739
419.879,0.996398297
419.955,0.883295925
420.031,0.863422001
420.107,0.871112665
420.183,0.97085064
420.258,0.846450982
420.334,0.971983414
420.410,0.855153214
420.486,0.940616465
420.562,0.865590216
420.638,0.930335513
420.714,0.878854251
420.790,0.961795645
420.866,0.873157782
420.942,0.895520594
421.017,0.865840625
421.093,0.982501687
421.169,0.923423224
421.245,0.993990505
421.321,0.963413756
421.397,0.945735722
421.473,0.838991038
421.548,0.916522844
421.624,0.912798484
421.700,0.892207639
421.776,0.870931942
421.852,0.883158628
421.928,0.889985665
422.003,0.887309632
422.079,0.877794576
422.155,0.992762353
422.231,0.947858391
422.307,0.943948313
422.382,0.937478665
422.458,0.862590026
422.534,0.857985529
422.610,0.924333608
422.686,0.946231818
422.761,0.920214096
422.837,0.906486873
422.913,0.921411241
422.989,0.824831788
423.064,0.865161198
423.140,0.908158071
423.216,0.876832044
423.292,0.832958445
423.367,0.944679674
423.443,0.848478453
423.519,0.841125401
423.595,0.887208291
423.670,0.920558097
423.746,0.935588957
423.822,0.949613787
423.897,0.888946885
423.973,0.903540638
424.049,0.908326255
424.124,0.916075367
424.200,0.929075879
424.276,0.955651698
424.352,0.889428656
424.427,0.85446631
424.503,0.896093145
424.579,0.970953414
424.654,0.862663185
424.730,0.926494371
424.805,0.904436079
424.881,0.902761348
424.957,0.835045845
425.032,0.91870356
425.108,0.865473798
425.184,0.905968922
425.259,0.849605726
425.335,0.891736883
425.411,0.906240866
425.486,0.927199211
425.562,0.902166043
425.637,0.877053442
425.713,0.879733423
425.789,0.974015757
425.864,0.912781639
425.940,0.923533101
426.015,0.903089985
426.091,0.880482194
426.166,0.893661569
426.242,0.943866378
426.317,0.842460447
426.393,0.887706787
426.469,0.97408617
426.544,0.930881928
426.620,0.937905454
426.695,0.972273813
426.771,0.940603821
426.846,0.988229779
426.922,0.87095069
426.997,0.860727821
427.073,0.901350591
427.148,0.925461307
427.224,0.866523929
427.299,0.879673831
427.375,0.881271155
427.450,0.86055106
427.526,0.913829113
427.601,0.925743097
427.677,0.913188322
427.752,0.940373291
427.828,0.897642978
427.903,0.92575397
427.979,0.907408234
428.054,0.862483458
428.129,0.897357903
428.205,0.899233678
428.280,0.851338536
428.356,0.875925842
428.431,0.83255547
428.507,0.890188449
428.582,0.851450657
428.657,0.897056506
428.733,0.856476276
428.808,0.956880717
428.884,0.883227276
428.959,0.915207764
429.034,0.851176384
429.110,0.93369264
429.185,0.87861925
429.261,0.913338382
429.336,0.870937882
429.411,0.865154629
429.487,0.872414461
429.562,0.976918822
429.637,0.913409137
429.713,0.909484812
429.788,0.906493807
429.863,0.965995896
429.939,0.919611385
430.014,0.940685997
430.089,0.884556291
430.165,0.888507985
430.240,0.87882141
430.315,0.89261012
430.391,0.876795711
430.466,0.864750061
430.541,0.870736971
430.617,0.918521088
430.692,0.912523653
430.767,0.951830592
430.842,0.977987991
430.918,0.929599556
430.993,0.867903556
431.068,0.909039821
431.143,0.904820694
431.219,0.928537107
431.294,0.97827715
431.369,0.915768342
431.444,0.865567129
431.520,0.887072258
431.595,0.892494238
431.670,0.931944528
431.745,0.930209792
431.821,0.925874789
431.896,0.895837629
431.971,0.910828997
432.046,0.926358823
432.121,0.959359438
432.197,0.894930017
432.272,0.877753354
432.347,0.88392437
432.422,0.881413973
432.497,0.875097316
432.572,0.922760046
432.648,0.8658009
432.723,0.890345929
432.798,0.920187867
432.873,0.903918002
432.948,0.885451577
433.023,0.94049468
433.099,0.889212231
433.174,0.90741418
433.249,0.888032402
433.324,0.892108768
433.399,0.893099428
433.474,0.874922042
433.549,0.921969202
433.624,0.930226391
433.699,0.889028259
433.775,0.828931192
433.850,0.897463364
433.925,0.9146493
434.000,0.931073767
434.075,0.92931899
434.150,0.897551399
434.225,0.920397548
434.300,0.933147079
434.375,0.982071601
434.450,0.90644839
434.525,0.892559482
434.600,0.888462716
434.675,0.885693731
434.750,0.949402982
434.825,0.908383842
434.900,0.900212986
434.975,0.865683334
435.050,0.912573649
435.126,0.960005245
435.201,0.887916869
435.276,0.889017744
